1250	Phibee Telecom	7
1251	CBizz B.V.	3
1252	GlobalConnect a/s	5
1253	Diveo	2
1255	Sewan Communications	3
1258	Net By Net Holding, LLC	13
1263	Institute of Molecular and Cell Biology, Singapore	1
1264	OVH	45
1265	VEON Group	18
1266	Bytemark Limited	4
1268	MK Netzdienste GmbH & Co. KG	3
1270	UK2Group	3
1279	Gandi	7
1280	Host Europe GmbH	6
1282	Equinix Connect - EMEA	22
1283	Sirius Telecom	1
1284	Qube Managed Services Limited	2
1287	PoP-PR - Ponto de Presen	1
1292	Fireline Network Solutions, Inc dba: Fireline Broadband	3
1297	GCI Com	5
1298	ioko	2
1299	Domicilium (IoM) Limited	3
1300	Wave Division Holdings	9
1304	Fastweb	7
1305	Grande Communications	1
1309	Sargasso Networks Ltd. (UK)	3
1311	Simwood eSMS Limited	3
1314	Siminn	4
1319	Verizon Digital Media Services (EdgeCast Networks)	56
1320	Digitel Philippines	2
1324	Infracom Italia	2
1332	LACNIC	1
1333	MetaMicro Automatisering BV	1
1334	Staminus Communications	1
1338	Clarksys AS7012	1
1341	RDNS Networks	1
1345	Emory University	1
1346	INTERNET MULTIFEED CO.	2
1352	Coreix Limited	2
1354	ecotel communication ag	1
1355	M-net Telekommunikations GmbH	6
1356	Academia Sinica Network(ASNet)	4
1357	IDKOM Networks GmbH	10
1363	Anders Telecom	2
1365	Wikimedia Foundation	6
1366	Ericsson Broadcast Services Netherlands	2
1367	Turk Telekom	2
1369	Duocast BV	2
1370	Technotop Internet BV	1
1371	Dial Telecom	6
1372	CDNetworks Inc.	30
1373	Caveo Internet BV	1
1374	Source Cable Ltd.	1
1377	Edutel	2
1378	TransIP BV	2
1381	Spitfire Network Services Ltd	2
1382	Reasonnet IP Networks	1
1383	TIME DotCom Berhad	3
1386	WebJanssen ISP ltd @ Co KG	1
1388	API Digital	2
1393	n@work Internet Informationssysteme GmbH	2
1396	TekSavvy Solutions Inc.	7
1398	PREGINET	1
1401	InterNLnet BV	1
1403	Coretel America, Inc.	1
1405	Viettel	6
1407	Pandora Media, Inc	3
1412	Virgin Media	3
1414	Bartels System GmbH	1
1416	CBS	1
1418	Amazon.com	93
1420	Computel Standby BV	2
1421	hostcamp IT-Solutions	1
1422	Lynk Networks	2
1423	Global Network Managment Ltd	8
1425	LightCore a CenturyTel Co.	3
1426	Alaska Communications Systems Group, Inc.	2
1427	A1 BG EAD	2
1428	Vodafone Group Services GmbH	1
1429	Dreamscape Networks	5
1430	WebCentral	4
1433	Casablanca INT s.r.o.	1
1434	Fast Hit Pty Ltd	1
1435	Aussie Broadband	10
1436	GoGrid	1
1438	Bulletproof Networks	4
1441	OBIT	9
1442	Cooolbox	1
1443	ATMAN	4
1446	O2 Broadband	2
1448	Conexim Australia Pty Ltd	2
1449	Infracom AB	1
1450	MEDIA LITE SA	1
1451	PCCW Global	14
1452	IP-Max SA	17
1454	Northwest Nexus	1
1458	JARING Communications Sdn Bhd	1
1459	Telstra (International)	28
1461	RBNET	2
1466	Equinix Corp Network	6
1467	cyberways GmbH	4
1468	Transnet Internet Services GmbH	1
1469	Global Access Internet Services GmbH	1
1470	Cronon AG	1
1474	CBN Networks	7
1475	ccn corporate communication networks GmbH	1
1476	netplace Telematic GmbH	2
1477	SpaceNet AG	4
1479	Zayo France	14
1480	Ooredoo Qatar formerly Qatar Telecom	6
1483	noris network AG	7
1484	Redpill Linpro	1
1486	RIPE NCC K-Root Operations	9
1487	Clusters KG	3
1492	Magic OnLine	3
1495	ANTEL	3
1496	in2ip	2
1497	NPO (Nederlandse Publieke Omroep)	2
1498	Previder BV	8
1501	hotze.com GmbH	3
1502	Scarlet Telecom B.V.	1
1503	LE FIGARO	1
1504	CS LoxInfo (IIG)	1
1505	Comvive Servidores	1
1506	HERE Global B.V.	5
1507	UNET BV	3
1508	MIPT-Telecom	2
1509	SIDN - Stichting Internet Domeinregistratie Nederland	3
1510	Wi-Manx Limited	4
1511	CSS Communications	1
1512	RoutIT B.V.	2
1513	Sarenet, S.A.	4
1517	WebEx Communications	16
1518	Mythic Beasts Ltd	4
1521	TiERA Broadband Operator	2
1523	Prosodie Cap Gemini	3
1527	Optilian	2
1528	GTA/Teleguam Holdings, LLC	3
1529	M1 Net Ltd	3
1533	Inticon Pty Ltd	1
1534	Alionis	2
1535	brightsolid	3
1537	Teleservice Bredband Sk�ne AB	2
1538	NetAssist	10
1539	Linkbynet	3
1540	IDE Group	3
1541	Netwurx	2
1544	ICE (Costa Rica)	1
1545	LinzNet ISP GmbH	3
1547	Extreme Broadband	7
1549	Steadfast Networks	4
1550	Bell Canada Backbone	6
1554	Equinix Connect - LD Metro	6
1555	Equinix Connect - FR Metro	3
1556	Equinix Connect - PA Metro	1
1557	Equinix Connect - GV Metro	3
1560	Pocketinet Communications, Inc.	1
1561	zColo - Dallas	2
1562	NetIRD Inc.	5
1565	HL komm	5
1569	PIRONET NDH Datacenter AG & Co. KG	1
1571	Community Network Center Inc. (CNCI)	7
1574	Energia Communications, Inc.	4
1587	Wowrack.com	2
1589	SatTel Corporation, Ltd	2
1594	Riksnet AB (Ratt-Internet Kapacitet i Sverige AB)	8
1598	WideVOIP - WhichWAN / Chmurtz SaRL	8
1599	Core-Backbone	20
1601	True Internet Corporation Co., Ltd.	10
1610	Prometey LLC	6
1611	Multi-vISP / SECR	2
1613	SoftLayer Technologies, Inc. (an IBM Company)	48
1614	SIL Citycable	5
1615	Persona Communications	4
1616	CSUC	1
1624	interscholz Internet Services GmbH  & Co. KG	3
1625	IPHH Internet Port Hamburg GmbH	7
1627	ha-vel internet s.r.o.	6
1630	Audatex (Switzerland) GmbH	1
1631	Netcetera AG	1
1633	Monzoon Networks AG	2
1634	acdalis informatik	1
1635	Nauka-Svyaz LTD	5
1636	mhs @ internet AG	1
1637	Nine Internet Solutions AG	1
1638	Trenka Informatik AG	1
1639	Antares Kommunikationstechnik AG (antanet.ch)	1
1640	IWB	1
1641	Johannes Gutenberg-Universitaet Mainz	1
1645	SMITCOMS	2
1651	PIN	11
1655	kyberna AG	1
1656	IPB Internet Provider Berlin GmbH	3
1660	LINKEY	4
1663	TeraGo Networks Inc.	2
1665	ASGCNET	2
1669	NAP Colombia	1
1672	NB Telecom	3
1675	First Colo GmbH	1
1676	PenTeleData	3
1677	MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.	6
1678	IPLAN Telecomunicaciones - NSS S.A.	1
1681	AEPROVI	2
1682	Telekom Romania Communications S.A.	5
1683	COMCOR	6
1684	General Communications Incorp	3
1689	Noel Communications, Inc.	2
1690	CIFNet, Inc.	1
1691	CetSI	1
1692	Carolina Internet / CaroNet	1
1694	Perspektiv Bredband AB	2
1695	KDDI Europe Ltd.	3
1697	NTT PC Communications (InfoSphere)	3
1698	Telemar	5
1700	HEAnet	3
1703	Vocus Communications	29
1706	UbuntuNET Alliance	3
1710	Cogeco Cable Canada Inc	1
1712	Devclic	6
1716	Sudjam Networks	1
1717	Chubu Telecommunications Co.,Inc.	4
1718	Atlas Communications (NI) Ltd.	2
1719	Marchex, Inc	1
1721	NORDUnet	20
1722	King County I-NET	1
1723	Node4 Ltd	2
1724	FIORD	12
1726	Filanco AS29076	6
1728	ETT	4
1730	Zenon N.S.P.	1
1731	N2N Technologies	1
1734	Funke Internet Services	1
1738	Lukoil Inform	1
1739	NETWORTH TELECOM	2
1740	TigoUne	3
1742	IC Telecom	1
1744	SIGNAL TELECOM	1
